ngay,ma,kn_gia_tri,kn_khoi_luong
2026-09-04,CTD,633917900,10241
2026-09-04,CTG,-26933287200,-857748
2026-09-04,CTS,60060000,2600
2026-09-04,DBC,-179760000,-10700
2026-09-04,DCM,-14120190000,-433800
2026-09-04,DGC,-15472350000,-328500
2026-09-04,DGW,-13160430000,-328600
2026-09-04,DIG,5078472000,457520
2026-09-04,DPM,-10597440000,-464800
2026-09-04,DXG,-121105052000,-10263140
2026-09-04,EIB,-4155085000,-243700
2026-09-04,FPT,69916392000,960390
2026-09-04,FRT,1901477500,13325
2026-09-04,FTS,-224612250,-10005
2026-09-04,GAS,-5277300000,-62825
2026-09-04,GEX,-1248195000,-48100
2026-09-04,GMD,-20255580000,-261700
2026-09-04,HAH,-6343680000,-134400
2026-09-04,HCM,18577680000,703700
2026-09-04,HDB,-50766379200,-1866411
2026-09-04,HDG,22038100000,1259320
2026-09-04,HPG,-71573023200,-3298296
2026-09-04,HSG,-1128900000,-106500
2026-09-04,IJC,-344160000,-47800
2026-09-04,KBC,-1032510000,-38100
2026-09-04,KDH,-50189030000,-2901100
2026-09-04,LPB,15718857000,320793
2026-09-04,MBB,-22057239750,-1073345
2026-09-04,MBS,-99120000,-5600
2026-09-04,MCH,101371670000,713885
2026-09-04,MSB,-6708735500,-510170
2026-09-04,MSN,-12150555000,-176095
2026-09-04,MWG,233920000,3200
2026-09-04,NAB,-1839915000,-159300
2026-09-04,NKG,-1045975000,-97300
2026-09-04,NLG,14227520000,553600
2026-09-04,NT2,-3877320000,-189600
2026-09-04,NVL,-34269952500,-2626050
2026-09-04,OCB,-20484935000,-1941700
2026-09-04,ORS,-928860000,-67800
2026-09-04,PDR,-1251354000,-102570
2026-09-04,PLX,6123600000,170100
2026-09-04,PNJ,12695569650,316993
2026-09-04,POW,-20448205000,-1591300
2026-09-04,PVD,664320000,34600
2026-09-04,PVS,12805830000,330900
2026-09-04,SAB,656214500,14470
2026-09-04,SHB,26186819000,2173180
2026-09-04,SSB,-518265000,-29700
2026-09-04,SSI,-11900196500,-565330
2026-09-04,STB,64977916200,840594
2026-09-04,SZC,0,0
2026-09-04,TCB,9812600000,301000
2026-09-04,TPB,26093970000,1775100
2026-09-04,VCB,-79530137300,-1350257
2026-09-04,VCI,6324280000,283600
2026-09-04,VHC,-3017070000,-57468
2026-09-04,VHM,132024278400,1755642
2026-09-04,VIB,29738800000,1976000
2026-09-04,VIC,154975585700,605137
2026-09-04,VIX,-10449824000,-746416
2026-09-04,VJC,-3460726500,-27797
2026-09-04,VND,-2787675000,-170500
2026-09-04,VNM,16163389900,261121
2026-09-04,VPB,98136780000,3530100
2026-09-04,VRE,14606270000,551180
2026-09-04,VSC,-3149740000,-226600
2026-09-04,VTP,2660982300,51871
2026-09-07,ACB,-2034540000,-91440
2026-09-07,AGR,-7800000,-600
2026-09-07,ANV,-654345000,-39300
2026-09-07,BID,-3600792000,-100022
2026-09-07,BSI,-1317040500,-45970
2026-09-07,BSR,-12873850000,-489500
2026-09-07,BVH,-2159529000,-33690
2026-09-07,CTD,-317720000,-5200
